id,sku,title,vendor,product_type,super_category,primary_category,product_category_type,collection_name,colour_finish,material,grade_of_material,style,installation_type,application_location,handle_type,handle_count,product_range,overall_width_mm,overall_depth_mm,overall_height_mm,overall_length_mm,weight_kg,flow_rate_lpm,water_pressure_min_kpa,water_pressure_max_kpa,tap_hole_size_mm,wels_rating,is_lead_free,lead_free_compliance,warranty_years,warranty_url,product_url
2496,B144261,"Argent Pace 2.0 Basin Mixer - LF Chrome - B144261",Argent,,Tapware,"Basin Tapware","Basin Mixer","Pace 2.0",Chrome,"Solid Brass",,Modern,"Hob Mounted",Bathroom,"Single Lever",1,"Pace 2.0",110,165,180,,2.5,6.0,150,500,35,5,1,1,15,https://www.argentaust.com.au/argent-australia-warranty-information,https://www.argentaust.com.au/argent-tapware-basin-mixers-basin-mixers-pace-20-basin-mixer-chrome-lead-free
2497,B144290,"Argent Pace 2.0 Basin Mixer - LF Gun Metal - B144290",Argent,,Tapware,"Basin Tapware","Basin Mixer","Pace 2.0",Gunmetal,"Solid Brass",,Modern,"Hob Mounted",Bathroom,"Single Lever",1,"Pace 2.0",140,,212,,1.2,5.0,,,35,5,1,1,15,https://www.argentaust.com.au/argent-australia-warranty-information,https://www.argentaust.com.au/argent-tapware-basin-mixers-basin-mixers-pace-20-basin-mixer-gun-metal-lead-free
2498,B144295,"Argent Pace 2.0 Basin Mixer - LF Matte Black - B144295",Argent,,Tapware,"Basin Tapware","Basin Mixer","Pace 2.0","Matte Black","Solid Brass",,Modern,"Hob Mounted",Bathroom,"Single Lever",1,"Pace 2.0",205,165,120,,2.5,6.0,150,500,35,5,1,1,15,https://www.argentaust.com.au/argent-australia-warranty-information,https://www.argentaust.com.au/villeroy-boch-tapware-basin-mixers-basin-mixers-onovo-basin-mixer-matte-black
2543,BL222625BN,"Argent Pace Comfort 170 Basin Mixer - Brushed Nickel - BL222625BN",Argent,,Tapware,"Basin Tapware","Basin Mixer","Grace 2.0","Brushed Nickel","Solid Brass",,,"Hob Mounted",,,,,300,,,,2.5,,,,35,,0,,15,https://www.argentaust.com.au/argent-australia-warranty-information,https://www.argentaust.com.au/argent-tapware-basin-mixers-basin-mixers-grace-20-vessel-basin-mixer-brushed-nickel-lead-free
2544,BL222625,"Argent Pace Comfort 170 Basin Mixer - Chrome - BL222625",Argent,,Tapware,"Basin Tapware","Basin Mixer","Pace 2.0",Chrome,"Solid Brass",,Modern,"Hob Mounted",Bathroom,"Single Lever",1,"Pace Comfort",,,298,,,5.0,,,,5,0,1,15,https://www.argentaust.com.au/argent-australia-warranty-information,https://www.argentaust.com.au/argent-tapware-basin-mixers-basin-mixers-pace-20-vessel-basin-mixer-chrome-lead-free
2553,BL222626,"Argent Pace Comfort 200 Basin Mixer - Chrome - BL222626",Argent,,Tapware,"Basin Tapware","Basin Mixer","Pace 2.0",Chrome,"Solid Brass",,Contemporary,"Hob Mounted",Bathroom,"Single Lever",1,"Pace Comfort",60,150,159,,,5.0,,,,5,0,,15,https://www.argentaust.com.au/argent-australia-warranty-information,https://www.argentaust.com.au/argent-tapware-basin-mixers-basin-mixers-pace-20-comfort-basin-mixer-chrome-lead-free
2571,BM222202,"Argent Pace Gooseneck Basin Mixer - Chrome - BM222202",Argent,,Tapware,"Basin Tapware","Basin Mixer","Pace 2.0",Chrome,"Solid Brass",,Contemporary,"Hob Mounted",Bathroom,"Single Lever",1,Pace,165,165,420,,,6.0,,,,5,0,,15,https://www.argentaust.com.au/argent-australia-warranty-information,https://www.argentaust.com.au/argent-tapware-kitchen-mixers-kitchen-mixers-pace-20-gooseneck-kitchen-mixer-chrome-lead-free
2807,500518B,"Armando Vicario Piazza High Basin Mixer - Black - 500518B","Armando Vicario",,Tapware,"Basin Tapware","Basin Mixer",Piazza,"Matte Black","Solid Brass",,Contemporary,"Hob Mounted",Bathroom,"Single Lever",1,Piazza,170,200,310,,,5.0,,,,5,0,,15,https://www.abey.com.au/warranty/,https://www.abey.com.au/product/tapware/bathroom-basin-mixers/piazza-high-basin-mixer/
2808,500518,"Armando Vicario Piazza High Basin Mixer - Chrome - 500518","Armando Vicario",,Tapware,"Basin Tapware","Basin Mixer",Piazza,Chrome,"Solid Brass",,,"Hob Mounted",,,,,155,155,300,,,,,,,5,0,,15,https://www.abey.com.au/warranty/,https://www.abey.com.au/product/tapware/bathroom-basin-mixers/piazza-high-basin-mixer/
2828,9010C,"Armando Vicario Provincial Basin Mixer - Chrome - 9010C","Armando Vicario",,Tapware,"Basin Tapware","Basin Mixer",Provincial,Chrome,"Solid Brass",,Traditional,"Hob Mounted",Bathroom,"Single Lever",1,Provincial,125,200,175,,1.5,7.5,,,,4,0,1,15,https://www.abey.com.au/warranty/,https://www.abey.com.au/product/tapware/bathroom-basin-mixers/provincial-basin-mixer/
